Date/Time,Whole Building:Total Building Electric Demand [W](TimeStep) 
 01/08  00:30:00,1127.633426
 01/08  00:45:00,793.5175323
 01/08  01:00:00,1130.449276
 01/08  01:15:00,1126.592623
 01/08  01:30:00,1557.46043
 01/08  01:45:00,1549.919192
 01/08  02:00:00,1544.155867
 01/08  02:15:00,1542.682302
 01/08  02:30:00,1540.415804
 01/08  02:45:00,1538.905009
 01/08  03:00:00,1538.380942
 01/08  03:15:00,1536.372828
 01/08  03:30:00,1536.846108
 01/08  03:45:00,1536.315424
 01/08  04:00:00,1536.619671
 01/08  04:15:00,-1
 01/08  04:30:00,1112.345075
 01/08  04:45:00,784.2498264
 01/08  05:00:00,1123.98035
 01/08  05:15:00,-1
 01/08  05:30:00,1543.688162
 01/08  05:45:00,1537.585203
 01/08  06:00:00,1535.557545
 01/08  06:15:00,1534.220454
 01/08  06:30:00,1533.293476
 01/08  06:45:00,1530.330206
 01/08  07:00:00,1531.982565
 01/08  07:15:00,1523.985098
 01/08  07:30:00,1498.349343
 01/08  07:45:00,1481.079787
 01/08  08:00:00,1475.573054
 01/08  08:15:00,1474.919354
 01/08  08:30:00,1504.757802
 01/08  08:45:00,1468.428315
 01/08  09:00:00,1122.812624
 01/08  09:15:00,1524.107021
 01/08  09:30:00,1521.130415
 01/08  09:45:00,-1
 01/08  10:00:00,1104.863584
 01/08  10:15:00,1110.655472
 01/08  10:30:00,1112.178317
 01/08  10:45:00,1113.699696
 01/08  11:00:00,1116.644037
 01/08  11:15:00,1115.637679
 01/08  11:30:00,1117.098978
 01/08  11:45:00,1115.970224
 01/08  12:00:00,1119.998449
 01/08  12:15:00,1112.525765
 01/08  12:30:00,1095.740247
 01/08  12:45:00,1088.412689
 01/08  13:00:00,768.4286625
 01/08  13:15:00,1109.699234
 01/08  13:30:00,1113.8437
 01/08  13:45:00,1115.964184
 01/08  14:00:00,1116.765609
 01/08  14:15:00,1119.00022
 01/08  14:30:00,1118.815192
 01/08  14:45:00,1120.127821
 01/08  15:00:00,1119.718818
 01/08  15:15:00,1120.575193
 01/08  15:30:00,1121.155404
 01/08  15:45:00,1121.239523
 01/08  16:00:00,1120.919706
 01/08  16:15:00,1123.229574
 01/08  16:30:00,1122.662172
 01/08  16:45:00,1122.03254
 01/08  17:00:00,791.7274773
 01/08  17:15:00,1516.738154
 01/08  17:30:00,1551.545555
 01/08  17:45:00,1526.718506
 01/08  18:00:00,1497.557898
 01/08  18:15:00,1491.430757
 01/08  18:30:00,1513.130518
 01/08  18:45:00,1520.004718
 01/08  19:00:00,1523.105907
 01/08  19:15:00,1523.553429
 01/08  19:30:00,1525.915038
 01/08  19:45:00,1524.649191
 01/08  20:00:00,1525.317503
 01/08  20:15:00,1526.197434
 01/08  20:30:00,1526.549017
 01/08  20:45:00,1525.913346
 01/08  21:00:00,1479.852859
 01/08  21:15:00,775.3019787
 01/08  21:30:00,-1
 01/08  21:45:00,1481.303867
 01/08  22:00:00,-1
 01/08  22:15:00,1069.235393
 01/08  22:30:00,1097.888081
 01/08  22:45:00,1104.342512
 01/08  23:00:00,1109.297561
 01/08  23:15:00,1118.80023
 01/08  23:30:00,1535.462239
 01/08  23:45:00,1527.993839
 01/08  24:00:00,1526.462542
 01/09  00:15:00,1524.521727
 01/09  00:30:00,1523.141363
 01/09  00:45:00,1521.661618
 01/09  01:00:00,1521.955166
 01/09  01:15:00,-1
 01/09  01:30:00,1529.635241
 01/09  01:45:00,1522.718058
 01/09  02:00:00,1522.001318
 01/09  02:15:00,1520.905195
 01/09  02:30:00,1521.131509
 01/09  02:45:00,1520.714406
 01/09  03:00:00,1520.681635
 01/09  03:15:00,1520.434931
 01/09  03:30:00,1520.215926
 01/09  03:45:00,1522.220198
 01/09  04:00:00,1520.662869
 01/09  04:15:00,1520.286182
 01/09  04:30:00,1520.110837
 01/09  04:45:00,1519.136915
 01/09  05:00:00,1519.805145
 01/09  05:15:00,-1
 01/09  05:30:00,1529.014986
 01/09  05:45:00,1520.626618
 01/09  06:00:00,1518.629611
 01/09  06:15:00,1516.998116
 01/09  06:30:00,1650.153416
 01/09  06:45:00,2866.320735
 01/09  07:00:00,3332.932048
 01/09  07:15:00,3340.634654
 01/09  07:30:00,1503.13478
 01/09  07:45:00,0
 01/09  08:00:00,0
 01/09  08:15:00,460.36692
 01/09  08:30:00,1839.667613
 01/09  08:45:00,1837.867547
